,index,Country or Area,Year,Commodity,Trade (USD),Weight (kg),Quantity
8054,83955,Greece,2002,"Bovine cuts boneless, fresh or chilled",406277.0,61145.0,61145.0
8055,83957,Greece,2002,"Bovine carcasses and half carcasses, frozen",109729.0,8198.0,8198.0
8056,83959,Greece,2002,"Bovine cuts bone in, frozen",57165.0,11074.0,11074.0
8057,83961,Greece,2002,"Bovine cuts boneless, frozen",716851.0,171139.0,171139.0
8058,83992,Greece,2002,"Bovine edible offal, fresh or chilled",9822.0,21052.0,21052.0
8059,83995,Greece,2002,"Bovine livers, frozen",2261.0,2420.0,2420.0
8060,83997,Greece,2002,"Bovine edible offal, frozen except livers and tongues",834.0,2210.0,2210.0
8061,84038,Greece,2002,"Bovine meat salted, dried or smoked",3286.0,351.0,351.0
8062,84042,Greece,2001,"Bovine carcasses and half carcasses, fresh or chilled",170804.0,73684.0,73684.0
8063,84044,Greece,2001,"Bovine cuts bone in, fresh or chilled",252712.0,149100.0,149100.0
8064,84046,Greece,2001,"Bovine cuts boneless, fresh or chilled",87230.0,11025.0,11025.0
8065,84048,Greece,2001,"Bovine carcasses and half carcasses, frozen",21320.0,1790.0,1790.0
8066,84050,Greece,2001,"Bovine cuts bone in, frozen",15293.0,1364.0,1364.0
8067,84052,Greece,2001,"Bovine cuts boneless, frozen",1017155.0,338600.0,338600.0
8068,84081,Greece,2001,"Bovine edible offal, fresh or chilled",9946.0,19561.0,19561.0
8069,84083,Greece,2001,"Bovine tongues, frozen",1018.0,463.0,463.0
8070,84085,Greece,2001,"Bovine livers, frozen",757.0,2225.0,2225.0
8071,84087,Greece,2001,"Bovine edible offal, frozen except livers and tongues",3229.0,11584.0,11584.0
8072,84127,Greece,2001,"Bovine meat salted, dried or smoked",1217.0,160.0,160.0
8073,84131,Greece,2000,"Bovine carcasses and half carcasses, fresh or chilled",7659.0,3086.0,3086.0
8074,84133,Greece,2000,"Bovine cuts bone in, fresh or chilled",301241.0,107130.0,107130.0
8075,84135,Greece,2000,"Bovine cuts boneless, fresh or chilled",186006.0,31127.0,31127.0
8076,84138,Greece,2000,"Bovine cuts bone in, frozen",212045.0,70758.0,70758.0
8077,84140,Greece,2000,"Bovine cuts boneless, frozen",5186711.0,1682421.0,1682421.0
8078,84172,Greece,2000,"Bovine edible offal, fresh or chilled",31532.0,35860.0,35860.0
8079,84174,Greece,2000,"Bovine tongues, frozen",28713.0,16587.0,16587.0
8080,84176,Greece,2000,"Bovine livers, frozen",21770.0,23214.0,23214.0
8081,84178,Greece,2000,"Bovine edible offal, frozen except livers and tongues",59250.0,49894.0,49894.0
8082,84221,Greece,2000,"Bovine meat salted, dried or smoked",21042.0,18953.0,18953.0
8083,84225,Greece,1999,"Bovine carcasses and half carcasses, fresh or chilled",605157.0,186088.0,186088.0
